"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","Stream index","Info"
"161453","2937.667604","163.117.139.71","188.114.96.5","52618","443","TLSv1.3","134","517","Change Cipher Spec, Application Data"
"161454","2937.668007","163.117.139.71","188.114.96.5","52618","443","TLSv1.3","391","517","Application Data"
"161455","2937.668064","163.117.139.71","188.114.96.5","52618","443","TLSv1.3","371","517","Application Data"
"161456","2937.687781","188.114.96.5","163.117.139.71","443","52618","TCP","60","517","443  >  52618 [ACK] Seq=2844 Ack=1252 Win=131072 Len=0"
"161464","2939.240168","188.114.96.5","163.117.139.71","443","52618","TLSv1.3","860","517","Application Data, Application Data"
"161465","2939.240168","188.114.96.5","163.117.139.71","443","52618","TLSv1.3","555","517","Application Data"
"161466","2939.240168","188.114.96.5","163.117.139.71","443","52618","TLSv1.3","81","517","Application Data"
"161467","2939.240337","163.117.139.71","188.114.96.5","52618","443","TCP","54","517","52618  >  443 [ACK] Seq=1252 Ack=4178 Win=64000 Len=0"
"161468","2939.241893","163.117.139.71","188.114.96.5","52618","443","TCP","54","517","52618  >  443 [FIN, ACK] Seq=1252 Ack=4178 Win=64000 Len=0"
"161469","2939.262897","188.114.96.5","163.117.139.71","443","52618","TCP","60","517","443  >  52618 [FIN, ACK] Seq=4178 Ack=1253 Win=131072 Len=0"
"161470","2939.263004","163.117.139.71","188.114.96.5","52618","443","TCP","54","517","52618  >  443 [ACK] Seq=1253 Ack=4179 Win=64000 Len=0"
"161542","2949.263273","163.117.139.71","188.114.96.5","52628","443","TCP","66","518","52628  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"161544","2949.282733","188.114.96.5","163.117.139.71","443","52628","TCP","66","518","443  >  52628 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"161545","2949.282891","163.117.139.71","188.114.96.5","52628","443","TCP","54","518","52628  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"161546","2949.283775","163.117.139.71","188.114.96.5","52628","443","TLSv1.3","571","518","Client Hello (SNI=api.llama-api.com)"
"161547","2949.303482","188.114.96.5","163.117.139.71","443","52628","TCP","60","518","443  >  52628 [ACK] Seq=1 Ack=518 Win=131072 Len=0"
"161548","2949.308445","188.114.96.5","163.117.139.71","443","52628","TLSv1.3","1514","518","Server Hello, Change Cipher Spec"
"161549","2949.308638","188.114.96.5","163.117.139.71","443","52628","TLSv1.3","1439","518","Application Data"
"161550","2949.308689","163.117.139.71","188.114.96.5","52628","443","TCP","54","518","52628  >  443 [ACK] Seq=518 Ack=2846 Win=65280 Len=0"
"161551","2949.314023","163.117.139.71","188.114.96.5","52628","443","TLSv1.3","134","518","Change Cipher Spec, Application Data"
"161552","2949.314480","163.117.139.71","188.114.96.5","52628","443","TLSv1.3","391","518","Application Data"
"161553","2949.314574","163.117.139.71","188.114.96.5","52628","443","TLSv1.3","370","518","Application Data"
"161555","2949.333947","188.114.96.5","163.117.139.71","443","52628","TCP","60","518","443  >  52628 [ACK] Seq=2846 Ack=1251 Win=131072 Len=0"
"161563","2950.657703","188.114.96.5","163.117.139.71","443","52628","TLSv1.3","1514","518","Application Data"
"161564","2950.657703","188.114.96.5","163.117.139.71","443","52628","TLSv1.3","378","518","Application Data"
"161565","2950.657703","188.114.96.5","163.117.139.71","443","52628","TLSv1.3","81","518","Application Data"
"161566","2950.657862","163.117.139.71","188.114.96.5","52628","443","TCP","54","518","52628  >  443 [ACK] Seq=1251 Ack=4657 Win=65280 Len=0"
"161567","2950.659346","163.117.139.71","188.114.96.5","52628","443","TCP","54","518","52628  >  443 [FIN, ACK] Seq=1251 Ack=4657 Win=65280 Len=0"
"161568","2950.679660","188.114.96.5","163.117.139.71","443","52628","TCP","60","518","443  >  52628 [FIN, ACK] Seq=4657 Ack=1252 Win=131072 Len=0"
"161569","2950.679756","163.117.139.71","188.114.96.5","52628","443","TCP","54","518","52628  >  443 [ACK] Seq=1252 Ack=4658 Win=65280 Len=0"
"161638","2960.674391","163.117.139.71","188.114.96.5","52637","443","TCP","66","519","52637  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"161639","2960.694073","188.114.96.5","163.117.139.71","443","52637","TCP","66","519","443  >  52637 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"161640","2960.694247","163.117.139.71","188.114.96.5","52637","443","TCP","54","519","52637  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"161641","2960.695138","163.117.139.71","188.114.96.5","52637","443","TLSv1.3","571","519","Client Hello (SNI=api.llama-api.com)"
"161643","2960.714877","188.114.96.5","163.117.139.71","443","52637","TCP","60","519","443  >  52637 [ACK] Seq=1 Ack=518 Win=131072 Len=0"
"161644","2960.720249","188.114.96.5","163.117.139.71","443","52637","TLSv1.3","1514","519","Server Hello, Change Cipher Spec"
"161645","2960.720546","188.114.96.5","163.117.139.71","443","52637","TLSv1.3","1437","519","Application Data"
"161646","2960.720616","163.117.139.71","188.114.96.5","52637","443","TCP","54","519","52637  >  443 [ACK] Seq=518 Ack=2844 Win=65280 Len=0"
"161647","2960.727608","163.117.139.71","188.114.96.5","52637","443","TLSv1.3","134","519","Change Cipher Spec, Application Data"
"161648","2960.728084","163.117.139.71","188.114.96.5","52637","443","TLSv1.3","391","519","Application Data"
"161649","2960.728189","163.117.139.71","188.114.96.5","52637","443","TLSv1.3","388","519","Application Data"
"161650","2960.747666","188.114.96.5","163.117.139.71","443","52637","TCP","60","519","443  >  52637 [ACK] Seq=2844 Ack=935 Win=131072 Len=0"
"161651","2960.789220","188.114.96.5","163.117.139.71","443","52637","TCP","60","519","443  >  52637 [ACK] Seq=2844 Ack=1269 Win=131072 Len=0"
"162011","2972.874925","188.114.96.5","163.117.139.71","443","52637","TLSv1.3","860","519","Application Data, Application Data"
"162012","2972.876070","188.114.96.5","163.117.139.71","443","52637","TLSv1.3","1144","519","Application Data"
"162013","2972.876070","188.114.96.5","163.117.139.71","443","52637","TLSv1.3","81","519","Application Data"
"162014","2972.876177","163.117.139.71","188.114.96.5","52637","443","TCP","54","519","52637  >  443 [ACK] Seq=1269 Ack=4767 Win=65280 Len=0"
"162015","2972.877033","163.117.139.71","188.114.96.5","52637","443","TCP","54","519","52637  >  443 [FIN, ACK] Seq=1269 Ack=4767 Win=65280 Len=0"
"162016","2972.897089","188.114.96.5","163.117.139.71","443","52637","TCP","60","519","443  >  52637 [FIN, ACK] Seq=4767 Ack=1270 Win=131072 Len=0"
"162017","2972.897206","163.117.139.71","188.114.96.5","52637","443","TCP","54","519","52637  >  443 [ACK] Seq=1270 Ack=4768 Win=65280 Len=0"
"162255","2982.893602","163.117.139.71","188.114.96.5","52664","443","TCP","66","533","52664  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"162257","2982.913630","188.114.96.5","163.117.139.71","443","52664","TCP","66","533","443  >  52664 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM WS=8192"
"162258","2982.913828","163.117.139.71","188.114.96.5","52664","443","TCP","54","533","52664  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"162259","2982.914707","163.117.139.71","188.114.96.5","52664","443","TLSv1.3","571","533","Client Hello (SNI=api.llama-api.com)"
"162260","2982.934542","188.114.96.5","163.117.139.71","443","52664","TCP","60","533","443  >  52664 [ACK] Seq=1 Ack=518 Win=131072 Len=0"
"162261","2982.942811","188.114.96.5","163.117.139.71","443","52664","TLSv1.3","1514","533","Server Hello, Change Cipher Spec"
"162262","2982.942811","188.114.96.5","163.117.139.71","443","52664","TLSv1.3","1438","533","Application Data"
"162263","2982.942986","163.117.139.71","188.114.96.5","52664","443","TCP","54","533","52664  >  443 [ACK] Seq=518 Ack=2845 Win=65280 Len=0"
"162264","2982.950118","163.117.139.71","188.114.96.5","52664","443","TLSv1.3","134","533","Change Cipher Spec, Application Data"
"162265","2982.950602","163.117.139.71","188.114.96.5","52664","443","TLSv1.3","391","533","Application Data"
"162266","2982.950695","163.117.139.71","188.114.96.5","52664","443","TLSv1.3","314","533","Application Data"
"162267","2982.970415","188.114.96.5","163.117.139.71","443","52664","TCP","60","533","443  >  52664 [ACK] Seq=2845 Ack=1195 Win=131072 Len=0"
"162279","2984.231146","188.114.96.5","163.117.139.71","443","52664","TLSv1.3","860","533","Application Data, Application Data"
"162280","2984.231146","188.114.96.5","163.117.139.71","443","52664","TLSv1.3","474","533","Application Data"
"162281","2984.231146","188.114.96.5","163.117.139.71","443","52664","TLSv1.3","81","533","Application Data"
