"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","Stream index","Info"
"608116","14249.471867","160.79.104.10","192.168.1.37","443","51126","TCP","60","5345","443  >  51126 [ACK] Seq=2858 Ack=1271 Win=73728 Len=0"
"608117","14249.512444","160.79.104.10","192.168.1.37","443","51126","TCP","60","5345","443  >  51126 [ACK] Seq=2858 Ack=1659 Win=73728 Len=0"
"608273","14255.351799","160.79.104.10","192.168.1.37","443","51126","TLSv1.3","1506","5345","Application Data"
"608274","14255.351799","160.79.104.10","192.168.1.37","443","51126","TLSv1.3","475","5345","Application Data"
"608275","14255.351799","160.79.104.10","192.168.1.37","443","51126","TLSv1.3","377","5345","Application Data"
"608276","14255.351799","160.79.104.10","192.168.1.37","443","51126","TLSv1.3","81","5345","Application Data"
"608277","14255.351891","192.168.1.37","160.79.104.10","51126","443","TCP","54","5345","51126  >  443 [ACK] Seq=1659 Ack=5081 Win=65280 Len=0"
"608447","14265.387412","192.168.1.37","160.79.104.10","51126","443","TCP","54","5345","51126  >  443 [FIN, ACK] Seq=1659 Ack=5081 Win=65280 Len=0"
"608448","14265.393243","192.168.1.37","160.79.104.10","51128","443","TCP","66","5346","51128  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"608449","14265.394088","160.79.104.10","192.168.1.37","443","51126","TCP","60","5345","443  >  51126 [FIN, ACK] Seq=5081 Ack=1660 Win=73728 Len=0"
"608450","14265.394132","192.168.1.37","160.79.104.10","51126","443","TCP","54","5345","51126  >  443 [ACK] Seq=1660 Ack=5082 Win=65280 Len=0"
"608451","14265.400186","160.79.104.10","192.168.1.37","443","51128","TCP","66","5346","443  >  51128 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM WS=8192"
"608452","14265.400286","192.168.1.37","160.79.104.10","51128","443","TCP","54","5346","51128  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"608453","14265.400841","192.168.1.37","160.79.104.10","51128","443","TLSv1.3","571","5346","Client Hello (SNI=api.anthropic.com)"
"608454","14265.407948","160.79.104.10","192.168.1.37","443","51128","TCP","60","5346","443  >  51128 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"608455","14265.410169","160.79.104.10","192.168.1.37","443","51128","TLSv1.3","1506","5346","Server Hello, Change Cipher Spec"
"608456","14265.410169","160.79.104.10","192.168.1.37","443","51128","TLSv1.3","1459","5346","Application Data"
"608457","14265.410215","192.168.1.37","160.79.104.10","51128","443","TCP","54","5346","51128  >  443 [ACK] Seq=518 Ack=2858 Win=65280 Len=0"
"608458","14265.414785","192.168.1.37","160.79.104.10","51128","443","TLSv1.3","134","5346","Change Cipher Spec, Application Data"
"608459","14265.415830","192.168.1.37","160.79.104.10","51128","443","TLSv1.3","727","5346","Application Data"
"608460","14265.416252","192.168.1.37","160.79.104.10","51128","443","TLSv1.3","381","5346","Application Data"
"608461","14265.422062","160.79.104.10","192.168.1.37","443","51128","TCP","60","5346","443  >  51128 [ACK] Seq=2858 Ack=1271 Win=73728 Len=0"
"608462","14265.463832","160.79.104.10","192.168.1.37","443","51128","TCP","60","5346","443  >  51128 [ACK] Seq=2858 Ack=1598 Win=73728 Len=0"
"608596","14269.695128","160.79.104.10","192.168.1.37","443","51128","TLSv1.3","1506","5346","Application Data"
"608597","14269.695128","160.79.104.10","192.168.1.37","443","51128","TLSv1.3","125","5346","Application Data"
"608598","14269.695128","160.79.104.10","192.168.1.37","443","51128","TLSv1.3","692","5346","Application Data, Application Data"
"608599","14269.695207","192.168.1.37","160.79.104.10","51128","443","TCP","54","5346","51128  >  443 [ACK] Seq=1598 Ack=5019 Win=65280 Len=0"
"608800","14279.722277","192.168.1.37","160.79.104.10","51128","443","TCP","54","5346","51128  >  443 [FIN, ACK] Seq=1598 Ack=5019 Win=65280 Len=0"
"608801","14279.728269","192.168.1.37","160.79.104.10","51130","443","TCP","66","5347","51130  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"608802","14279.729182","160.79.104.10","192.168.1.37","443","51128","TCP","60","5346","443  >  51128 [FIN, ACK] Seq=5019 Ack=1599 Win=73728 Len=0"
"608803","14279.729246","192.168.1.37","160.79.104.10","51128","443","TCP","54","5346","51128  >  443 [ACK] Seq=1599 Ack=5020 Win=65280 Len=0"
"608804","14279.738744","160.79.104.10","192.168.1.37","443","51130","TCP","66","5347","443  >  51130 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM WS=8192"
"608805","14279.738822","192.168.1.37","160.79.104.10","51130","443","TCP","54","5347","51130  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"608806","14279.739198","192.168.1.37","160.79.104.10","51130","443","TLSv1.3","571","5347","Client Hello (SNI=api.anthropic.com)"
"608807","14279.746520","160.79.104.10","192.168.1.37","443","51130","TCP","60","5347","443  >  51130 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"608808","14279.748944","160.79.104.10","192.168.1.37","443","51130","TLSv1.3","1506","5347","Server Hello, Change Cipher Spec"
"608809","14279.748944","160.79.104.10","192.168.1.37","443","51130","TLSv1.3","1458","5347","Application Data"
"608810","14279.748978","192.168.1.37","160.79.104.10","51130","443","TCP","54","5347","51130  >  443 [ACK] Seq=518 Ack=2857 Win=65280 Len=0"
"608811","14279.757031","192.168.1.37","160.79.104.10","51130","443","TLSv1.3","134","5347","Change Cipher Spec, Application Data"
"608812","14279.760247","192.168.1.37","160.79.104.10","51130","443","TLSv1.3","727","5347","Application Data"
"608813","14279.764124","192.168.1.37","160.79.104.10","51130","443","TLSv1.3","321","5347","Application Data"
"608814","14279.766706","160.79.104.10","192.168.1.37","443","51130","TCP","60","5347","443  >  51130 [ACK] Seq=2857 Ack=1271 Win=73728 Len=0"
"608815","14279.811182","160.79.104.10","192.168.1.37","443","51130","TCP","60","5347","443  >  51130 [ACK] Seq=2857 Ack=1538 Win=73728 Len=0"
"608941","14285.653616","160.79.104.10","192.168.1.37","443","51130","TLSv1.3","1506","5347","Application Data"
"608942","14285.653616","160.79.104.10","192.168.1.37","443","51130","TLSv1.3","475","5347","Application Data"
"608943","14285.653616","160.79.104.10","192.168.1.37","443","51130","TLSv1.3","308","5347","Application Data, Application Data"
"608944","14285.653676","192.168.1.37","160.79.104.10","51130","443","TCP","54","5347","51130  >  443 [ACK] Seq=1538 Ack=4984 Win=65280 Len=0"
"609121","14295.681589","192.168.1.37","160.79.104.10","51130","443","TCP","54","5347","51130  >  443 [FIN, ACK] Seq=1538 Ack=4984 Win=65280 Len=0"
"609122","14295.683175","192.168.1.37","160.79.104.10","51133","443","TCP","66","5349","51133  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"609123","14295.688859","160.79.104.10","192.168.1.37","443","51130","TCP","60","5347","443  >  51130 [FIN, ACK] Seq=4984 Ack=1539 Win=73728 Len=0"
"609124","14295.688859","160.79.104.10","192.168.1.37","443","51133","TCP","66","5349","443  >  51133 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM WS=8192"
"609125","14295.688944","192.168.1.37","160.79.104.10","51130","443","TCP","54","5347","51130  >  443 [ACK] Seq=1539 Ack=4985 Win=65280 Len=0"
"609126","14295.689078","192.168.1.37","160.79.104.10","51133","443","TCP","54","5349","51133  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"609127","14295.689537","192.168.1.37","160.79.104.10","51133","443","TLSv1.3","571","5349","Client Hello (SNI=api.anthropic.com)"
"609128","14295.696817","160.79.104.10","192.168.1.37","443","51133","TCP","60","5349","443  >  51133 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"609129","14295.699216","160.79.104.10","192.168.1.37","443","51133","TLSv1.3","1506","5349","Server Hello, Change Cipher Spec"
"609130","14295.699216","160.79.104.10","192.168.1.37","443","51133","TLSv1.3","1458","5349","Application Data"
"609131","14295.699264","192.168.1.37","160.79.104.10","51133","443","TCP","54","5349","51133  >  443 [ACK] Seq=518 Ack=2857 Win=65280 Len=0"
"609132","14295.702835","192.168.1.37","160.79.104.10","51133","443","TLSv1.3","134","5349","Change Cipher Spec, Application Data"
