Stream index,Source Port,stream_size
1,3836,1137
1,60090,877
3,3836,1058
3,60095,630
5,3836,1280
5,60099,746
7,3836,938
7,60103,654
9,3836,1263
9,60108,1142
11,3836,1421
11,60116,770
13,3836,1269
13,60120,734
16,3836,1664
16,60125,876
18,3836,3749
18,60129,1057
20,3836,1448
20,60133,798
22,3836,1272
22,60137,853
24,3836,1496
24,60142,818
26,3836,1569
26,60146,849
28,3836,1629
28,60150,814
30,3836,1346
30,60154,782
32,3836,1877
32,60158,1030
34,3836,1598
34,60163,785
36,3836,2038
36,60167,760
38,3836,949
38,60171,629
41,3836,1813
41,60176,844
43,3836,2606
43,60181,821
45,3836,1406
45,60186,728
47,3836,1318
47,60190,777
49,3836,1011
49,60194,679
51,3836,1150
51,60198,684
53,3836,1248
53,60202,817
55,3836,1347
55,60206,809
57,3836,1209
57,60210,776
59,3836,1276
59,60214,762
61,3836,977
61,60218,916
63,3836,1150
63,60223,655
65,3836,994
65,60227,816
67,3836,1023
67,60231,706
69,3836,1246
69,60235,630
71,3836,1127
71,60239,693
74,3836,1062
74,60244,730
76,3836,1111
76,60248,664
78,3836,1667
78,60252,805
80,3836,1613
80,60256,699
82,3836,1958
82,60260,914
84,3836,901
84,60265,734
86,3836,642
86,60269,1238
88,3836,977
88,60273,963
90,3836,1194
90,60277,783
92,3836,1317
92,60282,850
94,3836,1388
94,60286,1084
96,3836,1831
96,60290,1006
98,3836,542
98,60294,730
110,3836,1025
110,60306,695
115,3836,1111
115,60312,726
117,3836,1240
117,60317,678
119,3836,1079
119,60325,715
121,3836,1192
121,60329,797
123,3836,2257
123,60333,1094
125,3836,1265
125,60337,971
127,3836,1008
127,60342,696
130,3836,989
130,60348,727
132,3836,1254
132,60352,942
134,3836,1168
134,60356,922
136,3836,835
136,60360,664
138,3836,897
138,60364,664
140,3836,1056
140,60368,788
142,3836,1955
142,60372,828
145,3836,1432
145,60382,918
147,3836,1375
147,60396,1016
149,3836,1167
149,60400,739
151,3836,1237
151,60404,870
153,3836,1436
153,60408,784
155,3836,993
155,60412,683
157,3836,1019
157,60416,761
159,3836,1108
159,60421,751
162,3836,1015
162,60426,771
164,3836,1596
164,60430,747
166,3836,1290
166,60439,711
168,3836,1277
168,60445,1066
170,3836,1541
170,60449,888
172,3836,2149
172,60460,954
174,3836,1046
174,60465,760
176,3836,2127
176,60469,693
178,3836,938
178,60473,724
180,3836,1137
180,60479,650
183,3836,1240
183,60484,813
185,3836,983
185,60492,648
187,3836,739
187,60513,634
189,3836,948
189,60552,602
191,3836,1408
191,60583,966
193,3836,1136
193,60633,1013
195,3836,1935
195,60662,963
197,3836,1281
197,60695,667
199,3836,1451
199,60709,748
201,3836,1256
201,60721,988
203,3836,1083
203,60725,690
205,3836,1012
205,60744,752
207,3836,956
207,60748,912
209,3836,1394
209,60755,795
211,3836,1532
211,60760,670
213,3836,962
213,60764,661
215,3836,1159
215,60768,806
217,3836,1357
217,60772,1025
219,3836,1098
219,60776,965
