Stream index,Source Port,stream_size
14,443,5296
14,55850,1859
20,443,5161
20,55857,1679
27,443,5379
27,55862,1755
30,443,5169
30,55866,1695
33,443,5347
33,55870,2045
38,443,5398
38,55875,1777
39,443,12314
39,55879,1761
52,443,5349
52,55895,1861
53,443,12345
53,55899,2034
64,443,12342
64,55917,1853
75,443,5378
75,55933,1842
77,443,5293
77,55938,1813
86,443,5451
86,55950,1830
87,443,5643
87,55954,1811
88,443,5374
88,55959,1793
89,443,5336
89,55963,1971
93,443,12190
93,55970,1796
108,443,5164
108,55990,1763
111,443,5221
111,55996,1680
112,443,5360
112,56000,1829
115,443,5271
115,56006,1816
116,443,4640
116,56011,1751
117,443,12350
117,56015,1838
126,443,5164
126,56028,1716
128,443,12347
128,56034,1775
161,443,5328
161,56072,1804
162,443,5225
162,56077,1804
163,443,5218
163,56081,1781
170,443,5197
170,56089,1779
171,443,5208
171,56093,1885
173,443,5345
173,56098,1696
174,443,5229
174,56103,1811
175,443,12352
175,56107,1785
186,443,5438
186,56122,1685
218,443,12296
218,56158,1728
223,443,5218
223,56167,1747
236,443,12302
236,56179,1701
245,443,5640
245,56192,1796
249,443,5340
249,56199,1722
250,443,5545
250,56204,1875
251,443,5231
251,56208,1751
252,443,5392
252,56212,2119
253,443,5241
253,56216,1916
254,443,5383
254,56221,1792
255,443,5336
255,56225,1833
256,443,5326
256,56229,2017
259,443,5352
259,56235,1947
260,443,5416
260,56240,1743
261,443,5360
261,56245,1728
262,443,5212
262,56249,1755
264,443,5348
264,56254,1713
267,443,5154
267,56260,1730
268,443,5266
268,56264,1798
270,443,5412
270,56270,2011
271,443,5235
271,56274,1930
273,443,12296
273,56279,1785
283,443,5282
283,56293,1742
284,443,5355
284,56297,1911
286,443,5211
286,56302,1885
287,443,5132
287,56306,1711
290,443,5245
290,56312,1701
292,443,12294
292,56318,1785
307,443,5232
307,56338,1819
313,443,5257
313,56348,1891
314,443,5358
314,56353,1947
317,443,5220
317,56359,1752
320,443,5121
320,56365,1857
322,443,5210
322,56370,1793
325,443,5335
325,56377,1718
326,443,5195
326,56381,1768
327,443,5356
327,56385,1764
328,443,5171
328,56389,1790
330,443,12349
330,56394,1820
343,443,5210
343,56412,1740
345,443,5423
345,56417,1989
346,443,5389
346,56422,1871
347,443,5324
347,56426,1905
349,443,5204
349,56431,1777
350,443,5528
350,56435,1722
351,443,5193
351,56439,1743
353,443,5215
353,56445,1693
355,443,5194
355,56450,1816
356,443,12403
356,56454,1753
379,443,4461
379,56483,1685
381,443,12294
381,56488,1661
389,443,5429
389,56501,1921
390,443,5221
390,56505,1944
400,443,5503
400,56518,1920
401,443,5420
401,56522,1708
402,443,5248
402,56526,1767
408,443,5447
408,56536,1931
410,443,5220
410,56541,1723
411,443,5168
411,56545,1763
413,443,5286
413,56550,1883
414,443,12409
414,56554,1850
419,443,5364
419,56564,1705
420,443,5189
420,56568,1706
425,443,5342
425,56577,1814
426,443,12184
426,56581,1962
431,443,5359
431,56592,1930
