Stream index,Source Port,stream_size
335,61308,1051
337,3836,1439
337,61313,812
338,3836,1258
338,61315,730
339,3836,1524
339,61325,824
346,3836,1922
346,61341,841
348,3836,1230
348,61345,757
349,3836,1660
349,61347,750
350,3836,1039
350,61349,661
351,3836,1549
351,61351,719
352,3836,1433
352,61355,787
354,3836,1570
354,61359,778
355,3836,1597
355,61361,824
356,3836,1081
356,61364,613
357,3836,1192
357,61367,759
359,3836,1485
359,61370,839
360,3836,1344
360,61375,842
361,3836,1746
361,61377,850
362,3836,1547
362,61380,990
364,3836,1685
364,61388,797
365,3836,1750
365,61390,958
366,3836,1591
366,61395,769
367,3836,1388
367,61399,830
369,3836,1079
369,61403,716
370,3836,1623
370,61407,755
377,3836,1902
377,61425,794
378,3836,1301
378,61428,793
386,3836,1214
386,61450,827
387,3836,1087
387,61453,723
388,3836,1144
388,61455,691
389,3836,1695
389,61457,971
390,3836,1324
390,61459,691
392,3836,1350
392,61462,709
393,3836,1637
393,61468,824
394,3836,1451
394,61483,805
401,3836,1604
401,61500,903
403,3836,1194
403,61504,864
410,3836,1854
410,61535,971
411,3836,1487
411,61556,935
412,3836,1190
412,61563,646
414,3836,1964
414,61566,843
415,3836,2029
415,61568,777
416,3836,1133
416,61572,669
417,3836,1478
417,61579,749
419,3836,1054
419,61583,686
420,3836,1252
420,61585,822
421,3836,1624
421,61593,745
422,3836,1215
422,61597,727
424,3836,1790
424,61601,706
425,3836,1298
425,61605,775
432,3836,1403
432,61623,700
433,3836,1472
433,61625,741
434,3836,1109
434,61632,661
436,3836,1167
436,61638,656
437,3836,1475
437,61643,796
438,3836,1171
438,61649,669
439,3836,1514
439,61652,991
441,3836,1439
441,61658,901
442,3836,2031
442,61666,926
449,3836,1432
449,61682,767
450,3836,1096
450,61684,680
452,3836,1377
452,61694,841
453,3836,1338
453,61697,760
454,3836,1109
454,61701,705
455,3836,2159
455,61703,930
457,3836,1347
457,61709,924
458,3836,2173
458,61711,1026
459,3836,1821
459,61724,811
460,3836,1527
460,61726,735
462,3836,1208
462,61729,685
463,3836,1319
463,61732,628
464,3836,1299
464,61735,669
465,3836,1842
465,61738,734
467,3836,1545
467,61741,780
468,3836,1765
468,61744,1022
469,3836,1729
469,61746,1109
470,3836,1014
470,61748,620
471,3836,1171
471,61750,636
479,3836,1693
479,61771,695
480,3836,1413
480,61773,805
481,3836,1328
481,61781,834
488,3836,1491
488,61797,865
490,3836,1864
490,61800,795
493,3836,1359
493,61807,751
498,3836,1904
498,61819,953
499,3836,1469
499,61821,789
501,3836,1489
501,61833,938
508,3836,1655
508,61853,739
509,3836,1349
509,61859,895
510,3836,1618
510,61861,929
518,3836,1675
518,61878,936
519,3836,1343
519,61880,827
520,3836,1370
520,61882,974
521,3836,1234
521,61884,686
523,3836,1886
523,61887,939
530,3836,1723
530,61906,813
531,3836,1077
531,61911,591
532,3836,1512
532,61914,781
534,3836,1687
534,61917,818
535,3836,1493
535,61924,743
536,3836,1518
536,61926,873
537,3836,1862
537,61928,1002
539,3836,1543
539,61932,724
540,3836,953
540,61938,636
541,3836,1599
541,61940,824
548,3836,1480
548,61956,804
549,3836,1772
549,61962,802
551,3836,1500
551,61967,841
552,3836,1206
552,61971,667
559,3836,1433
559,61987,739
560,3836,1043
560,61991,949
568,3836,1781
568,62010,727
569,3836,1019
569,62015,652
570,3836,1410
570,62017,749
571,3836,2189
571,62021,934
573,3836,1138
573,62026,829
574,3836,2336
574,62029,956
575,3836,1463
575,62031,861
582,3836,1687
582,62056,849
584,3836,1406
584,62060,713
585,3836,1253
585,62065,681
592,3836,1585
592,62082,971
593,3836,1648
593,62084,1010
595,3836,1081
595,62088,710
596,3836,1742
596,62090,917
597,3836,1455
597,62093,777
604,3836,1455
604,62109,744
611,3836,1730
611,62127,753
613,3836,1349
613,62130,693
620,3836,1322
620,62149,792
621,3836,1368
621,62151,700
622,3836,1572
622,62153,1227
624,3836,1895
624,62157,887
625,3836,1358
625,62159,838
626,3836,1607
626,62170,830
627,3836,1230
627,62172,750
635,3836,1354
635,62189,657
636,3836,1656
636,62192,825
637,3836,1227
637,62195,676
638,3836,1547
638,62198,820
640,3836,1327
640,62201,828
641,3836,1650
641,62209,993
648,3836,1607
648,62225,885
655,3836,1015
655,62243,726
656,3836,1389
656,62246,891
658,3836,1910
658,62249,926
665,3836,1363
665,62266,850
666,3836,1565
666,62271,838
667,3836,1806
667,62281,914
669,3836,1416
669,62288,791
670,3836,1414
670,62295,828
671,3836,988
671,62298,660
678,3836,1948
678,62316,999
680,3836,1725
680,62321,917
681,3836,1470
681,62325,847
688,3836,1243
688,62341,763
689,3836,1039
689,62343,643
691,3836,1287
691,62348,854
692,3836,1813
692,62354,959
693,3836,1225
693,62367,653
694,3836,1699
694,62369,1001
696,3836,1415
696,62372,731
697,3836,1948
697,62383,1015
698,3836,1384
698,62402,781
699,3836,1355
699,62406,854
701,3836,1527
701,62409,693
702,3836,1304
702,62411,802
703,3836,1532
703,62415,708
704,3836,1663
704,62417,927
716,3836,1276
716,62426,747
718,3836,1144
718,62430,677
719,3836,1643
719,62434,695
726,3836,1433
726,62451,681
727,3836,1566
727,62454,748
729,3836,1970
729,62458,1011
730,3836,1053
730,62460,614
731,3836,1459
731,62462,1014
732,3836,1151
732,62472,868
734,3836,988
734,62475,602
735,3836,1377
735,62477,760
736,3836,1436
736,62482,904
743,3836,1396
743,62498,875
744,3836,1371
744,62502,716
746,3836,1564
746,62507,841
747,3836,1659
747,62511,700
748,3836,1877
748,62516,715
749,3836,1520
749,62520,868
751,3836,1311
751,62535,670
752,3836,1138
752,62541,715
759,3836,1362
759,62558,769
760,3836,1190
760,62560,697
766,3836,1200
766,62571,675
769,3836,1472
769,62584,690
776,3836,1575
776,62602,824
783,3836,2431
783,62618,826
785,3836,1501
785,62628,707
786,3836,1995
786,62630,990
793,3836,1772
793,62647,868
794,3836,1583
794,62655,985
796,3836,1669
796,62658,905
797,3836,1756
797,62660,899
798,3836,1447
798,62669,967
799,3836,1800
799,62673,854
807,3836,1283
807,62692,880
808,3836,1524
808,62697,833
809,3836,1310
809,62700,689
816,3836,1767
816,62726,1210
818,3836,1673
818,62729,715
819,3836,1732
819,62731,1013
820,3836,1410
820,62733,737
821,3836,1280
821,62737,1105
829,3836,1452
829,62755,780
830,3836,1707
830,62759,739
831,3836,1474
831,62767,917
832,3836,1683
832,62770,1130
834,3836,1575
834,62773,807
835,3836,1898
835,62775,1073
836,3836,1289
836,62777,840
837,3836,1312
837,62780,875
839,3836,1598
839,62783,894
840,3836,1381
840,62785,716
841,3836,1403
841,62788,844
842,3836,1427
842,62790,870
843,3836,1551
843,62792,1023
851,3836,1327
851,62809,701
852,3836,1569
852,62813,732
853,3836,1301
853,62820,680
854,3836,1430
854,62823,675
856,3836,1313
856,62826,705
857,3836,1611
857,62828,926
858,3836,1670
858,62830,1173
859,3836,1308
859,62832,680
861,3836,1644
861,62836,874
862,3836,1699
862,62844,913
863,3836,1987
863,62846,904
864,3836,1111
864,62848,686
866,3836,1635
866,62851,852
867,3836,1479
867,62853,833
868,3836,1394
868,62855,702
869,3836,1797
869,62857,842
871,3836,1321
871,62862,786
872,3836,1581
872,62870,972
873,3836,1801
873,62877,823
874,3836,1546
874,62879,686
876,3836,1818
876,62883,717
877,3836,1423
877,62887,612
878,3836,1686
878,62897,865
879,3836,1528
879,62899,752
881,3836,1482
881,62905,929
882,3836,1493
882,62909,695
883,3836,1651
883,62911,1277
884,3836,1755
884,62913,864
886,3836,1206
886,62917,674
887,3836,1007
887,62919,588
888,3836,1209
888,62929,726
889,3836,1269
889,62939,813
896,3836,2047
896,62957,931
910,3836,1980
910,62990,736
911,3836,1673
911,62992,791
912,3836,1491
912,62994,772
913,3836,1294
913,63004,808
915,3836,1322
915,63007,729
916,3836,1949
916,63009,831
917,3836,1366
917,63011,883
918,3836,1427
918,63020,678
920,3836,1401
920,63025,724
927,3836,1626
927,63041,808
928,3836,1316
928,63045,737
935,3836,1470
935,63061,741
943,3836,1340
943,63085,801
950,3836,1317
950,63101,848
951,3836,1520
951,63106,773
958,3836,1178
958,63124,777
965,3836,1178
965,63141,838
967,3836,1558
967,63144,804
968,3836,1277
968,63156,793
969,3836,929
969,63158,658
971,3836,1264
971,63163,641
973,3836,1763
973,63166,791
980,3836,1019
980,63182,679
981,3836,1446
981,63184,855
982,3836,1208
982,63186,776
984,3836,1286
984,63189,689
985,3836,1164
985,63194,674
992,3836,1541
992,63223,834
993,3836,1914
993,63226,875
995,3836,1271
995,63234,760
1002,3836,1133
1002,63250,657
1003,3836,1403
1003,63254,827
1004,3836,1616
1004,63258,800
1005,3836,1320
1005,63262,1152
1007,3836,1462
1007,63267,690
1014,3836,1317
1014,63292,778
1015,3836,1452
1015,63300,867
1016,3836,1217
1016,63303,712
1018,3836,1262
1018,63309,1033
1019,3836,1608
1019,63315,970
1020,3836,1361
1020,63320,753
1021,3836,1514
1021,63323,681
1023,3836,1781
1023,63326,770
1024,3836,1671
1024,63328,822
1025,3836,1499
1025,63333,897
1026,3836,1118
1026,63335,679
1028,3836,1279
1028,63343,749
1029,3836,1346
1029,63347,663
1030,3836,1316
1030,63350,644
1034,3836,1444
1034,63364,700
1036,3836,1252
1036,63376,641
1038,3836,1234
1038,63379,750
1039,3836,2068
1039,63383,859
1040,3836,1128
1040,63385,646
1041,3836,1486
1041,63387,1000
1043,3836,1833
1043,63399,941
1044,3836,1862
1044,63402,1078
1045,3836,1467
1045,63404,804
1046,3836,1412
1046,63406,735
1048,3836,1637
1048,63410,953
1049,3836,2826
1049,63414,860
1050,3836,1544
1050,63426,644
1051,3836,1516
1051,63430,800
1053,3836,1217
1053,63433,724
1054,3836,1740
1054,63435,931
1055,3836,1273
1055,63438,896
1056,3836,1531
1056,63441,690
1058,3836,1318
1058,63445,752
1059,3836,1664
1059,63447,1095
1060,3836,1267
1060,63451,661
1061,3836,1055
1061,63453,642
1063,3836,1419
1063,63467,854
1064,3836,1353
1064,63469,810
1065,3836,1246
1065,63471,676
1066,3836,1324
1066,63475,888
1068,3836,1850
1068,63482,830
1069,3836,1409
1069,63489,735
1070,3836,1334
1070,63499,691
1071,3836,1099
1071,63501,661
1073,3836,1111
1073,63506,686
1074,3836,1587
1074,63508,806
1075,3836,1317
1075,63517,802
1076,3836,1153
1076,63521,670
1077,3836,1597
1077,63523,784
1079,3836,1738
1079,63528,1035
1080,3836,1458
1080,63532,818
1081,3836,1346
1081,63534,843
1082,3836,1431
1082,63536,907
1084,3836,1580
1084,63540,781
1085,3836,1208
1085,63545,726
1086,3836,1301
1086,63549,686
1087,3836,1576
1087,63555,687
1089,3836,1129
1089,63572,731
1090,3836,1481
1090,63575,928
1103,3836,1314
1103,63610,696
1110,3836,1446
1110,63627,714
1111,3836,1416
1111,63629,958
1113,3836,1809
1113,63633,735
1120,3836,1397
1120,63653,784
1121,3836,1686
1121,63659,677
1122,3836,1039
1122,63661,652
1124,3836,1673
1124,63666,1041
1125,3836,1203
1125,63679,779
1126,3836,1163
1126,63682,892
1127,3836,2170
1127,63684,926
1135,3836,1252
1135,63703,724
1136,3836,1834
1136,63705,899
1137,3836,1368
1137,63710,698
1138,3836,1339
1138,63712,844
1140,3836,1661
1140,63717,1070
1141,3836,2493
1141,63720,1014
1148,3836,1466
1148,63736,949
1149,3836,1187
1149,63738,787
1151,3836,1082
1151,63748,620
1152,3836,1718
1152,63755,776
1153,3836,1292
1153,63769,763
1160,3836,1188
1160,63786,776
1162,3836,1623
1162,63789,842
1163,3836,1543
1163,63791,745
1164,3836,1830
1164,63794,888
1169,3836,1676
1169,63803,802
1173,3836,1921
1173,63815,1035
1174,3836,1337
1174,63818,888
1175,3836,1904
1175,63823,821
1176,3836,1534
1176,63825,993
1178,3836,1375
1178,63828,1088
1185,3836,1473
1185,63844,862
1186,3836,1491
1186,63855,801
1187,3836,1440
1187,63857,703
1188,3836,1247
1188,63860,595
1196,3836,1598
1196,63879,986
1197,3836,1289
1197,63881,774
1198,3836,1600
1198,63888,680
1205,3836,1490
1205,63906,640
1207,3836,1117
1207,63914,815
1208,3836,1895
1208,63918,1079
1209,3836,1143
1209,63923,663
1210,3836,1722
1210,63925,828
1212,3836,1625
1212,63928,852
1213,3836,1824
1213,63930,856
1214,3836,1633
1214,63939,743
1215,3836,1232
1215,63941,769
1217,3836,1731
1217,63947,882
1218,3836,1932
1218,63951,804
1219,3836,1644
1219,63956,704
1220,3836,2419
1220,63958,886
1222,3836,1688
1222,63961,955
1223,3836,1255
1223,63970,695
1224,3836,1394
1224,63972,721
1225,3836,1293
1225,63976,853
1227,3836,1243
1227,63983,770
1228,3836,1304
1228,63986,784
1229,3836,1877
1229,64004,877
1230,3836,1519
1230,64006,820
1232,3836,1604
1232,64011,794
1233,3836,1268
1233,64015,799
1234,3836,2165
1234,64017,1004
1235,3836,1068
1235,64021,596
1237,3836,1298
1237,64029,786
1238,3836,1324
1238,64031,737
1239,3836,1289
1239,64033,780
1240,3836,1591
1240,64035,766
1241,3836,1307
1241,64038,789
1243,3836,1478
1243,64041,770
1244,3836,1415
1244,64055,854
1245,3836,1491
1245,64068,825
1246,3836,1335
1246,64071,894
1248,3836,1185
1248,64074,679
1249,3836,1114
1249,64079,660
1250,3836,1595
1250,64081,837
1251,3836,1749
1251,64085,768
1259,3836,1188
1259,64104,697
1260,3836,1182
1260,64106,660
1261,3836,1411
1261,64108,729
1262,3836,1578
1262,64111,1260
1264,3836,1557
1264,64118,731
1265,3836,1532
1265,64122,816
1266,3836,1732
1266,64124,859
1267,3836,1233
1267,64126,758
1268,3836,1324
1268,64135,702
1270,3836,1411
1270,64142,683
1271,3836,1742
1271,64154,795
1272,3836,1607
1272,64159,920
1273,3836,1191
1273,64174,843
1275,3836,1593
1275,64180,1003
1276,3836,1764
1276,64200,920
1277,3836,1242
1277,64204,728
1278,3836,1212
1278,64206,894
1280,3836,1556
1280,64209,775
1281,3836,1139
1281,64215,676
1282,3836,1291
1282,64218,776
1283,3836,1364
1283,64221,824
1285,3836,1608
1285,64224,909
1286,3836,1501
1286,64226,772
1287,3836,1607
1287,64230,720
1288,3836,1540
1288,64232,997
1290,3836,1396
1290,64239,749
1291,3836,1210
1291,64241,732
1292,3836,1348
1292,64252,765
1293,3836,1546
1293,64257,848
1294,3836,1554
1294,64260,773
1296,3836,1363
1296,64269,744
1297,3836,1147
1297,64271,711
1298,3836,1413
1298,64279,746
1299,3836,1338
1299,64283,786
1301,3836,1515
1301,64289,810
1302,3836,1545
1302,64295,984
1303,3836,930
1303,64297,639
1304,3836,1495
1304,64299,685
1306,3836,1376
1306,64302,1089
1307,3836,1384
1307,64304,807
1308,3836,1284
1308,64306,1280
1309,3836,1263
1309,64308,661
1310,3836,1213
1310,64316,606
1312,3836,1270
1312,64320,788
1319,3836,1545
1319,64338,758
1320,3836,1331
1320,64346,894
1321,3836,1594
1321,64349,837
1323,3836,1383
1323,64354,830
1324,3836,1183
1324,64356,753
1325,3836,1281
1325,64358,783
1326,3836,1428
1326,64360,701
1328,3836,1401
1328,64365,872
1329,3836,1455
1329,64369,679
1336,3836,1880
1336,64387,777
1337,3836,1342
1337,64390,777
1339,3836,1409
1339,64393,1037
1346,3836,1863
1346,64421,858
1353,3836,1464
1353,64438,793
1354,3836,1044
1354,64446,675
1355,3836,1641
1355,64448,1101
1357,3836,1314
1357,64451,1008
1358,3836,1403
1358,64453,831
1359,3836,1109
1359,64456,663
1360,3836,1808
1360,64458,926
1362,3836,1809
1362,64463,1014
1363,3836,1507
1363,64466,975
1364,3836,1408
1364,64469,826
1365,3836,1275
1365,64471,644
1373,3836,1043
1373,64492,667
1374,3836,1645
1374,64494,865
1375,3836,1246
1375,64497,762
1376,3836,1223
1376,64499,620
1378,3836,2352
1378,64503,738
1386,3836,1691
1386,64533,868
1393,3836,1444
1393,64549,741
1394,3836,1553
1394,64554,715
1396,3836,1472
1396,64568,724
1397,3836,1479
1397,64583,777
1409,3836,1363
1409,64591,857
1410,3836,1603
1410,64599,778
1412,3836,1384
1412,64602,670
1413,3836,1296
1413,64613,849
1414,3836,1281
1414,64627,753
1415,3836,1276
1415,64635,735
1416,3836,2222
1416,64655,1170
1418,3836,1569
1418,64659,1022
1419,3836,1413
1419,64663,758
1426,3836,2144
1426,64679,814
1427,3836,1335
1427,64687,735
1429,3836,1350
1429,64696,872
1430,3836,1694
1430,64700,961
1431,3836,1485
1431,64702,731
1432,3836,1544
1432,64704,812
1434,3836,1308
1434,64707,695
1435,3836,1682
1435,64709,787
1442,3836,1405
1442,64729,782
1443,3836,1219
1443,64731,731
1447,3836,1369
1447,64746,883
1469,3836,1616
1469,64781,807
1474,3836,1500
1474,64794,677
1477,3836,1777
1477,64807,908
1479,3836,1249
1479,64811,692
1480,3836,1337
1480,64813,780
1481,3836,1716
1481,64815,858
1488,3836,1335
1488,64831,758
1490,3836,1412
1490,64834,746
1491,3836,1481
1491,64842,882
1498,3836,1487
1498,64858,914
1499,3836,1476
1499,64863,856
1501,3836,1902
1501,64876,1039
1502,3836,1738
1502,64884,799
1503,3836,1329
1503,64886,702
1504,3836,1691
1504,64891,712
1505,3836,1860
1505,64894,809
1507,3836,1565
1507,64898,1083
1508,3836,1356
1508,64922,692
1509,3836,1365
1509,64927,805
1510,3836,2451
1510,64929,1124
1512,3836,1288
1512,64933,774
1513,3836,1620
1513,64938,817
1514,3836,2342
1514,64949,995
1515,3836,1121
1515,64952,611
1522,3836,1212
1522,64985,703
1530,3836,1441
1530,64992,804
1531,3836,1312
1531,64997,686
1532,3836,1311
1532,65000,772
1534,3836,1666
1534,65017,870
1535,3836,1295
1535,65022,893
1536,3836,1094
1536,65030,619
1537,3836,1179
1537,65033,770
1539,3836,1115
1539,65070,707
1540,3836,1430
1540,65073,701
1541,3836,1632
1541,65082,852
1542,3836,1503
1542,65194,1122
1543,3836,1569
1543,65208,770
1551,3836,2013
1551,65229,945
1552,3836,1432
1552,65236,728
1553,3836,1705
1553,65256,698
1554,3836,1859
1554,65286,835
1556,3836,1109
1556,65354,612
1557,3836,1962
1557,65366,1018
1558,3836,1359
1558,65373,871
1559,3836,1841
1559,65422,846
1561,3836,2247
1561,65466,1170
1568,3836,1109
1568,65502,725
1569,3836,1510
1569,65510,740
1570,3836,1814
1570,65518,1079
1572,3836,1753
1572,65524,879
1573,3836,1265
1573,49190,744
1574,3836,1396
1574,49194,800
1575,3836,1243
1575,49202,807
1577,3836,1292
1577,49212,774
1584,3836,1853
1584,49233,978
1585,3836,1724
1585,49243,937
1586,3836,1356
1586,49245,743
1588,3836,1390
1588,49248,783
1589,3836,1619
1589,49254,859
1590,3836,1142
1590,49261,717
1591,3836,1341
1591,49263,810
1599,3836,1596
1599,49288,856
1600,3836,1398
1600,49303,802
1601,3836,1928
1601,49307,1107
1602,3836,1102
1602,49309,648
1604,3836,1137
1604,49314,692
1605,3836,2038
1605,49317,849
